ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POB20,EDU28,EDU31,P15mas.con.primaria.incompleta,P15mas.con.secundaria.completa,P15mas.con.secundaria.incompleta,P15mas.con.primaria.completa,P18mas.con.post,VIV2,VIV5_R,VIV6.complemento,VIV6,VIV14,VIV15,VIV16,VIV17,VIV19,VIV26
7,Chiapas,5,Amatán,2,Adolfo López Mateos,140,43,49,43,14,9,19,5,42,2.82,37,5,38,3,0,42,40,21
7,Chiapas,17,Cintalapa,3,Adolfo López Mateos,399,103,93,96,68,38,56,31,141,1.52,109,31,134,7,134,6,107,44
7,Chiapas,20,La Concordia,105,Adolfo López Mateos,10,2,2,0,1,1,6,0,4,5.25,4,0,4,0,0,4,0,1
7,Chiapas,21,Copainalá,16,Adolfo López Mateos,131,22,21,50,12,8,25,13,49,2.06,29,20,46,3,32,16,43,8
7,Chiapas,38,Huixtán,2,Adolfo López Mateos,401,145,127,39,66,11,134,20,132,1.68,100,31,125,4,45,86,129,1
7,Chiapas,51,Mapastepec,2,Adolfo López Mateos,361,65,68,90,71,37,50,33,134,1.07,126,8,132,2,0,134,133,114
7,Chiapas,54,Mazatán,44,Adolfo López Mateos,302,74,75,75,32,21,60,30,122,1.46,81,41,117,5,0,121,110,77
7,Chiapas,65,Palenque,188,Adolfo López Mateos,139,33,27,49,15,13,26,4,49,1.79,43,6,48,1,23,26,35,17
7,Chiapas,65,Palenque,1240,Adolfo López Mateos 2da. Sección,23,11,11,5,3,0,4,0,8,2.17,6,1,8,0,8,0,6,5
7,Chiapas,54,Mazatán,83,Adolfo Ruiz Cortines,614,82,83,117,171,39,97,100,223,1.38,146,77,220,3,0,222,209,165
4,Campeche,2,Campeche,316,Adolfo Ruiz Cortínez,261,39,51,37,65,27,36,38,104,1.54,101,3,102,2,94,10,85,73
7,Chiapas,51,Mapastepec,3,Adolfo Ruiz Cortínez,302,34,49,86,58,21,36,38,100,1.45,79,21,97,3,75,19,87,63
7,Chiapas,59,Ocosingo,1845,África,8,2,2,4,2,0,0,0,3,2.83,1,2,3,0,0,3,1,0
7,Chiapas,23,Chamula,145,Agil,162,69,61,51,0,0,50,0,65,2.44,35,30,61,3,54,10,47,3
6,Colima,3,Comala,2,Agosto,146,9,9,39,36,2,42,17,53,1.1,52,1,53,0,52,1,51,47
7,Chiapas,9,Arriaga,468,Agrícola Veinte de Noviembre,29,6,6,6,4,1,10,2,13,1.45,12,1,12,1,0,13,11,10
3,Baja California Sur,3,La Paz,1569,Agrodelicias de la Baja Sur,30,1,1,3,7,2,9,8,15,1.61,15,0,15,0,15,0,15,15
3,Baja California Sur,3,La Paz,1425,Agroexportadora del Noroeste,57,9,12,14,7,7,13,4,2,1.17,2,0,2,0,2,0,2,2
3,Baja California Sur,3,La Paz,336,Agua Amarga,271,4,3,85,28,20,79,47,99,1.09,97,2,98,1,8,91,92,97
1,Aguascalientes,1,Aguascalientes,96,Agua Azul,28,5,3,10,6,2,5,1,11,0.82,11,0,11,0,7,4,6,10
4,Campeche,11,Candelaria,835,Agua Azul,176,24,28,49,42,11,35,8,77,2.03,47,29,1,76,49,28,49,1
7,Chiapas,23,Chamula,162,Agua Azul,65,37,36,18,0,0,11,0,26,2.33,15,11,25,1,4,22,25,3
7,Chiapas,42,Ixhuatán,2,Agua Azul,65,11,10,15,13,4,8,9,26,1.16,25,1,26,0,26,0,26,10
7,Chiapas,59,Ocosingo,5,Agua Azul,572,195,124,211,98,52,61,17,164,2.35,116,48,152,12,159,5,162,4
7,Chiapas,64,Oxchuc,141,Agua Azul,43,16,8,10,10,5,8,1,14,2.59,11,3,0,14,0,14,14,0
7,Chiapas,31,Chilón,4,Agua Azul Chico,99,36,25,30,13,2,20,8,34,1.95,33,1,34,0,16,18,32,9
7,Chiapas,13,Bochil,131,Agua Bendita,63,10,8,15,4,2,28,6,27,1.71,17,10,27,0,27,0,27,4
7,Chiapas,19,Comitán de Domínguez,247,Agua Bendita,21,5,4,11,0,1,5,0,8,2.92,2,6,7,1,0,8,4,0
7,Chiapas,52,Las Margaritas,870,Agua Bendita,7,3,3,3,0,0,1,0,3,1.75,0,3,0,3,0,3,3,0
2,Baja California,1,Ensenada,1112,Agua Blanca,7,0,2,2,0,0,2,1,6,1.75,1,2,0,3,0,3,2,0
7,Chiapas,50,La Libertad,2,Agua Blanca,39,1,3,15,6,0,12,2,14,1.38,14,0,13,1,3,10,14,13
7,Chiapas,65,Palenque,182,Agua Blanca Serranía,638,288,236,134,85,58,53,46,215,2.61,132,83,199,16,196,19,201,29
7,Chiapas,46,Jiquipilas,781,Agua Buena,7,1,1,4,1,0,1,0,3,1.5,1,2,3,0,0,3,1,2
3,Baja California Sur,8,Los Cabos,4,Agua Caliente,130,9,10,25,41,1,37,13,51,1.12,40,11,51,0,51,0,51,47
7,Chiapas,15,Cacahoatán,2,Agua Caliente,191,52,50,55,24,17,37,5,66,1.85,49,17,65,1,59,7,66,11
2,Baja California,2,Mexicali,307,Agua Clara del Valle,8,0,0,2,2,0,0,4,4,0.71,3,1,3,1,4,0,4,3
7,Chiapas,65,Palenque,1304,Agua Cristalina,91,34,33,18,13,4,18,2,34,2.5,0,34,5,29,0,34,9,0
7,Chiapas,69,Pijijiapan,910,Agua de Dios,7,4,3,2,1,1,0,0,4,1.43,3,0,4,0,0,4,3,3
