NOM_ENT,NOM_LOC,P15.sesc,P15cpri.inc,P15cpri.com,P15csec.inc,P15csec.com,P18.c.post,VIV5_R,VIV6.complemento,VIV6,CVEGEO
Nuevo León,Las Cruces,1,0,2,0,1,13,0.53,6,2,190060405
Nuevo León,Total del Municipio,1151,2902,2173,421,2140,1569,1.19,3436,603,190070000
Nuevo León,Aramberri,74,331,260,48,371,558,1.05,617,55,190070001
Nuevo León,Agua Delgada,20,37,31,3,7,0,1.62,31,4,190070002
Nuevo León,El Alamar,13,19,8,1,0,0,2.06,11,4,190070003
Nuevo León,Álamos,3,23,7,2,3,2,1.59,1,14,190070004
Nuevo León,La Aldea,10,43,29,14,35,11,1.59,44,14,190070005
Nuevo León,La Angostura,2,4,3,0,1,0,1.11,3,1,190070006
Nuevo León,Las Ánimas (Presa de las Ánimas),19,46,34,11,18,6,1.21,46,5,190070007
Nuevo León,La Ascención,193,326,288,65,458,554,1,703,51,190070008
Nuevo León,La Boquilla,4,12,5,0,3,0,1.32,4,5,190070010
Nuevo León,La Caballada,24,36,23,3,22,4,1.33,30,11,190070012
Nuevo León,Cañón de Vacas (El Jardín),13,19,25,8,9,0,1.48,25,3,190070013
Nuevo León,La Carpintería,6,22,12,7,15,5,1.3,26,4,190070014
Nuevo León,El Carrizalillo,7,10,9,0,5,0,1.59,6,3,190070015
Nuevo León,Dolores Palmita,5,23,13,0,3,0,1.55,13,3,190070017
Nuevo León,La Escondida,19,82,51,3,57,36,1.19,96,4,190070019
Nuevo León,La Esperanza,0,26,8,4,16,10,1.19,24,4,190070020
Nuevo León,Rancho Nuevo (Las Hornillas),5,21,18,8,17,8,1.71,20,10,190070022
Nuevo León,Ibarrilla (Rincón de Ibarrilla),5,28,33,2,6,0,1.45,26,3,190070024
Nuevo León,Ignacio Zaragoza,15,32,8,3,11,2,1.33,5,23,190070025
Nuevo León,Hoya de Bocacelly,8,26,15,1,7,0,1.2,19,4,190070026
Nuevo León,Joyas y Anteojitos,26,42,25,0,10,0,1.16,35,7,190070027
Nuevo León,Laguna de Bocacelly,6,17,6,0,6,1,1.25,12,3,190070028
Nuevo León,Lagunita (Lagunita de los Cerda),0,3,3,0,6,1,3.14,0,3,190070029
Nuevo León,Lampacitos,10,67,29,7,21,1,1.52,45,3,190070031
Nuevo León,Marmolejo,9,19,16,5,9,1,1.96,16,1,190070033
Nuevo León,Milpillas,19,32,21,5,17,1,1.28,29,11,190070034
Nuevo León,El Nacimiento,1,20,14,0,6,1,1.49,4,10,190070036
Nuevo León,Los Nogales,7,15,11,2,15,11,1.49,23,2,190070037
Nuevo León,El Porvenir,1,15,2,0,5,1,1.32,9,1,190070039
Nuevo León,Potrero del Padre (Lagunita de González),2,7,9,2,3,1,2,0,11,190070040
Nuevo León,Potrero de Zamora,6,21,11,2,10,2,1.29,16,3,190070041
